"Provisional weekly death counts, by age group and sex c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15"
"Frequency: Weekly"
"Table: 13-10-0768-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Age at time of death","Age at time of death, all ages 18",,
,"Sex","Both sexes 19","Males","Females"
,"Characteristics 17","Number of deaths","Number of deaths","Number of deaths"
"Geography, place of occurrence 16","Reference period"
,,"Number",,
,"January 22, 2022","140","75","65"
,"January 29, 2022","140","65","75"
,"February 5, 2022","135","75","60"
,"February 12, 2022","115","60","55"
,"February 19, 2022","145","90","55"
,"February 26, 2022","110","50","60"
,"March 5, 2022","120","60","65"
,"March 12, 2022","135","75","60"
,"March 19, 2022","130","70","60"
,"March 26, 2022","135","65","70"
,"April 2, 2022","125","65","55"
,"April 9, 2022","145","85","60"
,"April 16, 2022","120","70","55"
,"April 23, 2022","115","65","55"
,"April 30, 2022","120","60","65"
,"May 7, 2022","105","60","50"
,"May 14, 2022","125","65","60"
,"May 21, 2022","105","50","55"
,"May 28, 2022","125","60","60"
,"June 4, 2022","130","75","55"
,"June 11, 2022","120","60","60"
,"June 18, 2022","105","60","45"
,"June 25, 2022","115","60","55"
,"July 2, 2022","100","55","50"
,"July 9, 2022","120","75","50"
,"July 16, 2022","125","60","65"
,"July 23, 2022","120","65","55"
,"July 30, 2022","115","50","65"
,"August 6, 2022","125","60","60"
,"August 13, 2022","140","80","55"
,"August 20, 2022","130","75","55"
,"August 27, 2022","100","55","40"
,"September 3, 2022","115","65","50"
,"September 10, 2022","105","45","55"
,"September 17, 2022","110","60","50"
,"September 24, 2022","115","60","55"
,"October 1, 2022","100","50","50"
,"October 8, 2022","115","50","60"
,"October 15, 2022","120","65","60"
,"October 22, 2022","110","65","50"
,"October 29, 2022","150","75","75"
,"November 5, 2022","135","75","65"
,"November 12, 2022","115","65","55"
,"November 19, 2022","110","60","50"
,"November 26, 2022","130","70","60"
,"December 3, 2022","115","55","55"
,"December 10, 2022","135","75","60"
,"December 17, 2022","125","55","65"
,"December 24, 2022","125","55","70"
,"December 31, 2022","140","85","60"
"Prince Edward Island, place of occurrence","January 9, 2010","35","20","15"
,"January 16, 2010","20","10","10"
,"January 23, 2010","20","10","10"
,"January 30, 2010","15","5","10"
,"February 6, 2010","30","10","20"
,"February 13, 2010","20","10","10"
,"February 20, 2010","30","20","10"
,"February 27, 2010","25","10","15"
,"March 6, 2010","25","20","5"
,"March 13, 2010","25","15","10"
,"March 20, 2010","30","15","15"
,"March 27, 2010","20","10","10"
,"April 3, 2010","10","0","10"
,"April 10, 2010","25","10","15"
,"April 17, 2010","25","10","15"
,"April 24, 2010","20","10","10"
,"May 1, 2010","25","10","15"
,"May 8, 2010","20","10","10"
,"May 15, 2010","20","15","5"
,"May 22, 2010","20","15","5"
,"May 29, 2010","20","10","10"
,"June 5, 2010","15","5","10"
,"June 12, 2010","20","10","10"
,"June 19, 2010","30","15","15"
,"June 26, 2010","15","10","5"
,"July 3, 2010","20","10","10"
,"July 10, 2010","20","15","5"
,"July 17, 2010","25","15","10"
,"July 24, 2010","20","10","10"
,"July 31, 2010","10","5","5"
,"August 7, 2010","20","15","5"
,"August 14, 2010","25","10","15"
,"August 21, 2010","20","10","10"
,"August 28, 2010","15","10","5"
,"September 4, 2010","20","10","10"
,"September 11, 2010","25","15","10"
,"September 18, 2010","20","15","5"
,"September 25, 2010","20","10","10"
,"October 2, 2010","25","15","10"
,"October 9, 2010","15","10","5"
,"October 16, 2010","15","5","10"
,"October 23, 2010","25","15","10"
,"October 30, 2010","20","10","10"
,"November 6, 2010","20","15","5"
,"November 13, 2010","15","5","10"
,"November 20, 2010","15","15","0"
,"November 27, 2010","25","10","15"
,"December 4, 2010","20","10","10"
,"December 11, 2010","25","10","15"
,"December 18, 2010","20","10","10"
,"December 25, 2010","15","10","5"
,"January 1, 2011","20","10","10"
,"January 8, 2011","30","15","15"
,"January 15, 2011","25","10","15"
,"January 22, 2011","30","15","15"
,"January 29, 2011","25","10","15"
,"February 5, 2011","30","10","20"
,"February 12, 2011","20","10","10"
,"February 19, 2011","35","15","20"
,"February 26, 2011","25","15","10"
,"March 5, 2011","30","15","15"
,"March 12, 2011","25","15","10"
,"March 19, 2011","30","15","15"
,"March 26, 2011","20","10","10"
,"April 2, 2011","15","5","10"
,"April 9, 2011","25","5","20"
,"April 16, 2011","10","5","5"
,"April 23, 2011","30","15","15"
,"April 30, 2011","15","5","10"
,"May 7, 2011","15","10","5"
,"May 14, 2011","20","5","15"
,"May 21, 2011","20","10","10"
,"May 28, 2011","20","10","10"
,"June 4, 2011","20","5","15"
,"June 11, 2011","25","10","15"
,"June 18, 2011","25","15","10"
,"June 25, 2011","25","10","15"
,"July 2, 2011","20","10","10"
,"July 9, 2011","25","15","10"
