"Provisional weekly death counts, by selected grouped causes of death c 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20"
"Frequency: Weekly"
"Table: 13-10-0810-01"
"Release date: 2023-05-11"
"Geography: Canada, Province or territory"
""
""

,"Cause of death (ICD-10)  3 4 5 6 13 14 15 16 17 18 19","Intentional self-harm (suicide)"
,"Characteristics 22","Number of deaths"
"Geography, place of occurrence 21","Reference period"
,,"Number"
,"July 23, 2022","60"
,"July 30, 2022","45"
,"August 6, 2022","40"
,"August 13, 2022","45"
,"August 20, 2022","35"
,"August 27, 2022","30"
,"September 3, 2022","40"
,"September 10, 2022","30"
,"September 17, 2022","30"
,"September 24, 2022","25"
,"October 1, 2022","35"
,"October 8, 2022","30"
,"October 15, 2022","30"
,"October 22, 2022","25"
,"October 29, 2022","25"
,"November 5, 2022","25"
,"November 12, 2022","20"
,"November 19, 2022","15"
,"November 26, 2022","25"
,"December 3, 2022","20"
,"December 10, 2022","20"
,"December 17, 2022","15"
,"December 24, 2022","20"
,"December 31, 2022","20"
,"January 7, 2023",".."
,"January 14, 2023",".."
,"January 21, 2023",".."
,"January 28, 2023",".."
,"February 4, 2023",".."
,"February 11, 2023",".."
,"February 18, 2023",".."
,"February 25, 2023",".."
,"March 4, 2023",".."
"Newfoundland and Labrador, place of occurrence","January 9, 2010","0"
,"January 16, 2010","5"
,"January 23, 2010","0"
,"January 30, 2010","0"
,"February 6, 2010","0"
,"February 13, 2010","0"
,"February 20, 2010","0"
,"February 27, 2010","0"
,"March 6, 2010","0"
,"March 13, 2010","0"
,"March 20, 2010","0"
,"March 27, 2010","5"
,"April 3, 2010","0"
,"April 10, 2010","0"
,"April 17, 2010","5"
,"April 24, 2010","0"
,"May 1, 2010","0"
,"May 8, 2010","0"
,"May 15, 2010","0"
,"May 22, 2010","0"
,"May 29, 2010","0"
,"June 5, 2010","5"
,"June 12, 2010","0"
,"June 19, 2010","0"
,"June 26, 2010","0"
,"July 3, 2010","0"
,"July 10, 2010","0"
,"July 17, 2010","0"
,"July 24, 2010","0"
,"July 31, 2010","5"
,"August 7, 2010","5"
,"August 14, 2010","5"
,"August 21, 2010","0"
,"August 28, 2010","5"
,"September 4, 2010","0"
,"September 11, 2010","0"
,"September 18, 2010","5"
,"September 25, 2010","0"
,"October 2, 2010","0"
,"October 9, 2010","0"
,"October 16, 2010","0"
,"October 23, 2010","0"
,"October 30, 2010","0"
,"November 6, 2010","0"
,"November 13, 2010","0"
,"November 20, 2010","5"
,"November 27, 2010","0"
,"December 4, 2010","0"
,"December 11, 2010","0"
,"December 18, 2010","5"
,"December 25, 2010","0"
,"January 1, 2011","5"
,"January 8, 2011","0"
,"January 15, 2011","5"
,"January 22, 2011","0"
,"January 29, 2011","0"
,"February 5, 2011","0"
,"February 12, 2011","0"
,"February 19, 2011","0"
,"February 26, 2011","0"
,"March 5, 2011","0"
,"March 12, 2011","0"
,"March 19, 2011","0"
,"March 26, 2011","0"
,"April 2, 2011","0"
,"April 9, 2011","0"
,"April 16, 2011","0"
,"April 23, 2011","0"
,"April 30, 2011","0"
,"May 7, 2011","0"
,"May 14, 2011","5"
,"May 21, 2011","0"
,"May 28, 2011","0"
,"June 4, 2011","5"
,"June 11, 2011","0"
,"June 18, 2011","5"
,"June 25, 2011","5"
,"July 2, 2011","0"
,"July 9, 2011","0"
,"July 16, 2011","0"
